amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	signature-confirmation-recommended 
111-8045990-7474654	111-8045990-7474654	2024-09-25T22:48:52+00:00	2024-09-26T22:07:40+00:00	Pending	Amazon	Amazon.com			Expedited	YOHANSEN 21Pcs Cobalt Drill Bits Set - M35 High Speed Steel Jobber Drill Bits, Precision 135 Degree Tip for Metal, Iron, Wood, Plastic with Storage In	TWS-CF21SET	B0DBH5L7BK	Unshipped	1	USD	17.99	0.95							ROANOKE	VIRGINIA	24019-6416	US		false			false
111-1366904-4706647	111-1366904-4706647	2024-09-25T18:57:46+00:00	2024-09-26T17:14:47+00:00	Pending	Amazon	Amazon.com			Standard	YOHANSEN 115Pcs Cobalt Drill Bits Set - M35 High Speed Steel Twist Drill Bit for Hard Metal, Wood, Plastic, Precision Jobber Drill Bits with Metal Ind	TWS-CM115SET	B0DBH66YJP	Unshipped	2	USD	279.98								Bonanza	OR	97623	US	US Core Free Shipping Promotion A3JU1FCINF5SD0	false			false
112-8579709-4454639	112-8579709-4454639	2024-09-25T16:16:45+00:00	2024-09-25T22:25:13+00:00	Shipped	Amazon	Amazon.com			Expedited	YOHANSEN 29Pcs Cobalt Drill Bits Set - Black and Gold Finish High Speed Steel Jobber Drill Bits, Precision 135 Degree Tip for Metal, Iron, Wood, Plast	TWS-CF29SET	B0DBH5QF5P	Shipped	1	USD	39.99	2.16					4.0		CLARKSBURG	MD	20871-2006	US	PLM-532b9250-902a-49f5-ad81-6dd6fa62a176	true			false
114-5041778-6122613	114-5041778-6122613	2024-09-25T16:12:31+00:00	2024-09-26T11:53:50+00:00	Shipped	Amazon	Amazon.com			Expedited	YOHANSEN 29Pcs Cobalt Drill Bits Set - M35 High Speed Steel Jobber Drill Bits, Precision 135 Degree Tip for Metal, Iron, Wood, Plastic with Metal Inde	TWS-CS29SET	B0DBH6Z3D4	Shipped	2	USD	119.98	11.04							BAINBRIDGE ISLAND	WA	98110-4062	US		false			false
114-0094915-6256260	114-0094915-6256260	2024-09-25T16:08:13+00:00	2024-09-25T16:09:11+00:00	Cancelled	Amazon	Amazon.com			Expedited	YOHANSEN 29Pcs Cobalt Drill Bits Set - M35 High Speed Steel Jobber Drill Bits, Precision 135 Degree Tip for Metal, Iron, Wood, Plastic with Metal Inde	TWS-CS29SET	B0DBH6Z3D4	Cancelled	0										EVANSTON	IL	60201-4351	US		false			false
112-7397485-9337809	112-7397485-9337809	2024-09-25T03:44:35+00:00	2024-09-25T12:29:58+00:00	Shipped	Amazon	Amazon.com			Expedited	YOHANSEN 29Pcs Cobalt Drill Bits Set - M35 High Speed Steel Jobber Drill Bits, Precision 135 Degree Tip for Metal, Iron, Wood, Plastic with Metal Inde	TWS-CS29SET	B0DBH6Z3D4	Shipped	2	USD	119.98	11.68					6.0		MONTEREY PARK	CA	91754-3327	US	PLM-bddec44e-6c7e-4260-814a-af7061c69bdb	false			false
114-0090181-5910628	114-0090181-5910628	2024-09-24T18:51:25+00:00	2024-09-26T20:25:49+00:00	Shipped	Amazon	Amazon.com			Expedited	YOHANSEN 29Pcs Cobalt Drill Bits Set - M35 High Speed Steel Jobber Drill Bits, Precision 135 Degree Tip for Metal, Iron, Wood, Plastic with Metal Inde	TWS-CS29SET	B0DBH6Z3D4	Shipped	1	USD	59.99	4.5							CHICAGO PARK	CA	95712-9998	US		false			false
114-7456181-5968240	114-7456181-5968240	2024-09-24T01:07:47+00:00	2024-09-25T21:59:30+00:00	Shipped	Amazon	Amazon.com			Standard	YOHANSEN 29Pcs Cobalt Drill Bits Set - M35 High Speed Steel Jobber Drill Bits, Precision 135 Degree Tip for Metal, Iron, Wood, Plastic with Metal Inde	TWS-CS29SET	B0DBH6Z3D4	Shipped	1	USD	59.99	5.1	2.9					2.9	WEST CHICAGO	IL	60185-4123	US	US Core Free Shipping Promotion A3JU1FCINF5SD0	false			false
111-6896001-7612267	111-6896001-7612267	2024-09-24T00:55:24+00:00	2024-09-26T14:51:26+00:00	Shipped	Amazon	Amazon.com			Expedited	YOHANSEN 29Pcs Cobalt Drill Bits Set - Black and Gold Finish High Speed Steel Jobber Drill Bits, Precision 135 Degree Tip for Metal, Iron, Wood, Plast	TWS-CF29SET	B0DBH5QF5P	Shipped	1	USD	39.99	3.2							CENTRAL BRIDGE	NEW YORK	12035-2412	US		false			false
112-4201916-5924203	112-4201916-5924203	2024-09-23T18:58:29+00:00	2024-09-24T06:34:43+00:00	Shipped	Amazon	Amazon.com			Expedited	YOHANSEN 29Pcs Cobalt Drill Bits Set - Black and Gold Finish High Speed Steel Jobber Drill Bits, Precision 135 Degree Tip for Metal, Iron, Wood, Plast	TWS-CF29SET	B0DBH5QF5P	Shipped	1	USD	39.99	2.7							PLEASANTON	TX	78064-6537	US		false			false
